model,category,subcategory,metric_name,orig_value,aug_value,delta,delta_pct,orig_error_file_count,orig_error_item_count,aug_error_file_count,aug_error_item_count
azure-gpt-4o-FC,live,overall,ast_summary,70.1,68.1,-2.0,-0.028530670470756064,6,588,6,601
azure-gpt-4o-FC,live,overall,irrelevance_detection,79.41,81.22,1.8100000000000023,0.022793099105906087,6,588,6,601
azure-gpt-4o-FC,live,overall,live_overall_acc,70.1,68.1,-2.0,-0.028530670470756064,6,588,6,601
azure-gpt-4o-FC,live,overall,python_multiple_ast,70.09,68.09,-2.0,-0.028534741047224994,6,588,6,601
azure-gpt-4o-FC,live,overall,python_parallel_ast,62.5,68.75,6.25,0.1,6,588,6,601
azure-gpt-4o-FC,live,overall,python_parallel_multiple_ast,66.67,66.67,0.0,0.0,6,588,6,601
azure-gpt-4o-FC,live,overall,python_simple_ast,70.93,68.22,-2.710000000000008,-0.03820668264486124,6,588,6,601
azure-gpt-4o-FC,live,overall,rank,1.0,1.0,0.0,0.0,6,588,6,601
azure-gpt-4o-FC,live,overall,relevance_detection,87.5,75.0,-12.5,-0.14285714285714285,6,588,6,601
azure-gpt-4o-FC,non_live,overall,ast_summary,84.67,83.79,-0.8799999999999955,-0.010393291602692754,7,199,7,214
azure-gpt-4o-FC,non_live,overall,irrelevance_detection,85.0,85.83,0.8299999999999983,0.009764705882352922,7,199,7,214
azure-gpt-4o-FC,non_live,overall,java_simple_ast,66.0,65.0,-1.0,-0.015151515151515152,7,199,7,214
azure-gpt-4o-FC,non_live,overall,javascript_simple_ast,74.0,72.0,-2.0,-0.02702702702702703,7,199,7,214
azure-gpt-4o-FC,non_live,overall,multiple_ast,91.5,88.5,-3.0,-0.03278688524590164,7,199,7,214
azure-gpt-4o-FC,non_live,overall,non_live_overall_acc,84.67,83.79,-0.8799999999999955,-0.010393291602692754,7,199,7,214
azure-gpt-4o-FC,non_live,overall,parallel_ast,90.5,92.0,1.5,0.016574585635359115,7,199,7,214
azure-gpt-4o-FC,non_live,overall,parallel_multiple_ast,80.0,80.0,0.0,0.0,7,199,7,214
azure-gpt-4o-FC,non_live,overall,python_simple_ast,90.0,87.0,-3.0,-0.03333333333333333,7,199,7,214
azure-gpt-4o-FC,non_live,overall,rank,1.0,1.0,0.0,0.0,7,199,7,214
azure-gpt-4o-FC,non_live,overall,simple_ast,76.67,74.67,-2.0,-0.026085822355549758,7,199,7,214
azure-gpt-5.1-responses-FC,live,overall,ast_summary,63.8,60.03,-3.769999999999996,-0.059090909090909034,6,632,6,662
azure-gpt-5.1-responses-FC,live,overall,irrelevance_detection,84.39,86.65,2.260000000000005,0.026780424220879312,6,632,6,662
azure-gpt-5.1-responses-FC,live,overall,live_overall_acc,63.8,60.03,-3.769999999999996,-0.059090909090909034,6,632,6,662
azure-gpt-5.1-responses-FC,live,overall,python_multiple_ast,63.15,60.87,-2.280000000000001,-0.03610451306413304,6,632,6,662
azure-gpt-5.1-responses-FC,live,overall,python_parallel_ast,56.25,68.75,12.5,0.2222222222222222,6,632,6,662
azure-gpt-5.1-responses-FC,live,overall,python_parallel_multiple_ast,66.67,58.33,-8.340000000000003,-0.1250937453127344,6,632,6,662
azure-gpt-5.1-responses-FC,live,overall,python_simple_ast,66.67,56.2,-10.469999999999999,-0.15704214789260534,6,632,6,662
azure-gpt-5.1-responses-FC,live,overall,rank,2.0,2.0,0.0,0.0,6,632,6,662
azure-gpt-5.1-responses-FC,live,overall,relevance_detection,68.75,75.0,6.25,0.09090909090909091,6,632,6,662
azure-gpt-5.1-responses-FC,non_live,overall,ast_summary,81.81,77.56,-4.25,-0.05194963940838528,7,220,7,272
azure-gpt-5.1-responses-FC,non_live,overall,irrelevance_detection,88.75,88.75,0.0,0.0,7,220,7,272
azure-gpt-5.1-responses-FC,non_live,overall,java_simple_ast,63.0,63.0,0.0,0.0,7,220,7,272
azure-gpt-5.1-responses-FC,non_live,overall,javascript_simple_ast,66.0,64.0,-2.0,-0.030303030303030304,7,220,7,272
azure-gpt-5.1-responses-FC,non_live,overall,multiple_ast,88.5,82.5,-6.0,-0.06779661016949153,7,220,7,272
azure-gpt-5.1-responses-FC,non_live,overall,non_live_overall_acc,81.81,77.56,-4.25,-0.05194963940838528,7,220,7,272
azure-gpt-5.1-responses-FC,non_live,overall,parallel_ast,86.5,80.5,-6.0,-0.06936416184971098,7,220,7,272
azure-gpt-5.1-responses-FC,non_live,overall,parallel_multiple_ast,80.0,77.5,-2.5,-0.03125,7,220,7,272
azure-gpt-5.1-responses-FC,non_live,overall,python_simple_ast,87.75,82.25,-5.5,-0.06267806267806268,7,220,7,272
azure-gpt-5.1-responses-FC,non_live,overall,rank,2.0,2.0,0.0,0.0,7,220,7,272
azure-gpt-5.1-responses-FC,non_live,overall,simple_ast,72.25,69.75,-2.5,-0.03460207612456748,7,220,7,272
